Date,State,Region,Category,Sales,Quantity
11/8/2016,Kentucky,South,Laptops,261.96,2
11/8/2016,Kentucky,South,Laptops,731.94,3
6/12/2016,California,West,Mobile Phones,14.62,2
10/11/2019,Florida,South,Laptops,957.5775,5
10/11/2019,Florida,South,Mobile Phones,22.368,2
6/9/2018,California,West,Laptops,48.86,7
6/9/2018,California,West,Mobile Phones,7.28,4
6/9/2018,California,West,Cameras ,907.152,6
6/9/2018,California,West,Mobile Phones,18.504,3
6/9/2018,California,West,Mobile Phones,114.9,5
6/9/2018,California,West,Laptops,1706.184,9
6/9/2018,California,West,Cameras ,911.424,4
4/15/2017,North Carolina,South,Mobile Phones,15.552,3
12/5/2016,Washington,West,Mobile Phones,407.976,3
11/22/2019,Texas,Central,Mobile Phones,68.81,5
11/22/2019,Texas,Central,Mobile Phones,2.544,3
11/11/2018,Wisconsin,Central,Mobile Phones,665.88,6
5/13/2018,Utah,West,Mobile Phones,55.5,2
8/27/2018,California,West,Mobile Phones,8.56,2
8/27/2018,California,West,Cameras ,213.48,3
8/27/2018,California,West,Mobile Phones,22.72,4
12/9/2016,Nebraska,Central,Mobile Phones,19.46,7
12/9/2016,Nebraska,Central,Mobile Phones,60.34,7
7/16/2017,Pennsylvania,East,Laptops,71.372,2
9/25/2019,Utah,West,Laptops,1044.63,3
1/16/2016,California,West,Mobile Phones,11.648,2
1/16/2016,California,West,Cameras ,90.57,3
9/17/2019,Pennsylvania,East,Laptops,3083.43,7
9/17/2019,Pennsylvania,East,Mobile Phones,9.618,2
9/17/2019,Pennsylvania,East,Laptops,124.2,3
9/17/2019,Pennsylvania,East,Mobile Phones,3.264,2
9/17/2019,Pennsylvania,East,Mobile Phones,86.304,6
9/17/2019,Pennsylvania,East,Mobile Phones,6.858,6
9/17/2019,Pennsylvania,East,Mobile Phones,15.76,2
10/19/2017,Texas,Central,Mobile Phones,29.472,3
12/8/2016,Texas,Central,Cameras ,1097.544,7
12/8/2016,Texas,Central,Laptops,190.92,5
12/27/2019,Texas,Central,Mobile Phones,113.328,9
12/27/2019,Texas,Central,Laptops,532.3992,3
12/27/2019,Texas,Central,Laptops,212.058,3
12/27/2019,Texas,Central,Cameras ,371.168,4
9/10/2017,Illinois,Central,Cameras ,147.168,4
7/17/2016,California,West,Mobile Phones,77.88,2
9/19/2017,Florida,South,Mobile Phones,95.616,2
3/11/2016,Minnesota,Central,Cameras ,45.98,2
3/11/2016,Minnesota,Central,Mobile Phones,17.46,2
10/20/2018,Michigan,Central,Mobile Phones,211.96,4
6/20/2016,Delaware,East,Cameras ,45,3
6/20/2016,Delaware,East,Cameras ,21.8,2
4/18/2019,Indiana,Central,Mobile Phones,38.22,6
4/18/2019,Indiana,Central,Mobile Phones,75.18,6
4/18/2019,Indiana,Central,Laptops,6.16,2
4/18/2019,Indiana,Central,Laptops,89.99,1
12/11/2016,New York,East,Mobile Phones,15.26,7
12/11/2016,New York,East,Cameras ,1029.95,5
6/17/2016,New York,East,Mobile Phones,208.56,6
6/17/2016,New York,East,Mobile Phones,32.4,5
6/17/2016,New York,East,Laptops,319.41,5
6/17/2016,New York,East,Mobile Phones,14.56,2
6/17/2016,New York,East,Cameras ,30,2
6/17/2016,New York,East,Mobile Phones,48.48,4
6/17/2016,New York,East,Mobile Phones,1.68,1
11/24/2019,California,West,Cameras ,13.98,2
11/24/2019,California,West,Mobile Phones,25.824,6
11/24/2019,California,West,Mobile Phones,146.73,3
