Date,State,Region,Category,Sub-Category,Sales,Quantity
11/8/2016,Kentucky,South,Laptops,Dell,261.96,2
11/8/2016,Kentucky,South,Laptops,HP,731.94,3
6/12/2016,California,West,Mobile Phones,HTC,14.62,2
10/11/2019,Florida,South,Laptops,Lenovo,957.5775,5
10/11/2019,Florida,South,Mobile Phones,OnePlus,22.368,2
6/9/2018,California,West,Laptops,Asus,48.86,7
6/9/2018,California,West,Mobile Phones,LG,7.28,4
6/9/2018,California,West,Cameras ,Sony,907.152,6
6/9/2018,California,West,Mobile Phones,iPhone,18.504,3
6/9/2018,California,West,Mobile Phones,Samsung,114.9,5
6/9/2018,California,West,Laptops,Lenovo,1706.184,9
6/9/2018,California,West,Cameras ,Sony,911.424,4
4/15/2017,North Carolina,South,Mobile Phones,Pixel,15.552,3
12/5/2016,Washington,West,Mobile Phones,iPhone,407.976,3
11/22/2019,Texas,Central,Mobile Phones,Samsung,68.81,5
11/22/2019,Texas,Central,Mobile Phones,iPhone,2.544,3
11/11/2018,Wisconsin,Central,Mobile Phones,OnePlus,665.88,6
5/13/2018,Utah,West,Mobile Phones,OnePlus,55.5,2
8/27/2018,California,West,Mobile Phones,LG,8.56,2
8/27/2018,California,West,Cameras ,Sony,213.48,3
8/27/2018,California,West,Mobile Phones,iPhone,22.72,4
12/9/2016,Nebraska,Central,Mobile Phones,LG,19.46,7
12/9/2016,Nebraska,Central,Mobile Phones,Samsung,60.34,7
7/16/2017,Pennsylvania,East,Laptops,HP,71.372,2
9/25/2019,Utah,West,Laptops,Lenovo,1044.63,3
1/16/2016,California,West,Mobile Phones,iPhone,11.648,2
1/16/2016,California,West,Cameras ,Nikon,90.57,3
9/17/2019,Pennsylvania,East,Laptops,Dell,3083.43,7
9/17/2019,Pennsylvania,East,Mobile Phones,iPhone,9.618,2
9/17/2019,Pennsylvania,East,Laptops,Asus,124.2,3
9/17/2019,Pennsylvania,East,Mobile Phones,Motorola ,3.264,2
9/17/2019,Pennsylvania,East,Mobile Phones,LG,86.304,6
9/17/2019,Pennsylvania,East,Mobile Phones,iPhone,6.858,6
9/17/2019,Pennsylvania,East,Mobile Phones,LG,15.76,2
10/19/2017,Texas,Central,Mobile Phones,Pixel,29.472,3
12/8/2016,Texas,Central,Cameras ,Sony,1097.544,7
