Date,Sales
11/8/2016,261.96
11/8/2016,731.94
6/12/2016,14.62
10/11/2019,957.5775
10/11/2019,22.368
6/9/2018,48.86
6/9/2018,7.28
6/9/2018,907.152
6/9/2018,18.504
6/9/2018,114.9
6/9/2018,1706.184
6/9/2018,911.424
4/15/2017,15.552
12/5/2016,407.976
11/22/2019,68.81
11/22/2019,2.544
11/11/2018,665.88
5/13/2018,55.5
8/27/2018,8.56
8/27/2018,213.48
8/27/2018,22.72
12/9/2016,19.46
12/9/2016,60.34
7/16/2017,71.372
9/25/2019,1044.63
1/16/2016,11.648
1/16/2016,90.57
9/17/2019,3083.43
9/17/2019,9.618
9/17/2019,124.2
9/17/2019,3.264
9/17/2019,86.304
9/17/2019,6.858
9/17/2019,15.76
10/19/2017,29.472
12/8/2016,1097.544
12/8/2016,190.92
12/27/2019,113.328
12/27/2019,532.3992
12/27/2019,212.058
12/27/2019,371.168
9/10/2017,147.168
7/17/2016,77.88
9/19/2017,95.616
3/11/2016,45.98
3/11/2016,17.46
10/20/2018,211.96
6/20/2016,45
6/20/2016,21.8
4/18/2019,38.22
4/18/2019,75.18
4/18/2019,6.16
4/18/2019,89.99
12/11/2016,15.26
12/11/2016,1029.95
6/17/2016,208.56
6/17/2016,32.4
6/17/2016,319.41
6/17/2016,14.56
6/17/2016,30
6/17/2016,48.48
6/17/2016,1.68
11/24/2019,13.98
11/24/2019,25.824
11/24/2019,146.73
11/24/2019,79.76
4/30/2019,213.115
12/5/2018,1113.024
12/5/2018,167.968
6/4/2016,75.88
9/18/2016,4.616
9/14/2017,19.05
4/26/2019,831.936
4/26/2019,97.04
4/26/2019,72.784
12/9/2017,1.248
12/9/2017,9.708
12/9/2017,27.24
11/26/2018,19.3
6/12/2016,208.16
6/12/2016,16.74
10/12/2018,14.9
10/12/2018,21.39
9/3/2019,200.984
11/13/2017,230.376
5/28/2017,301.96
10/26/2017,19.99
10/26/2017,6.16
4/5/2016,158.368
9/17/2016,20.1
9/17/2016,73.584
9/17/2016,6.48
1/31/2019,12.96
1/31/2019,53.34
1/31/2019,32.96
11/6/2017,5.682
11/9/2017,96.53
6/17/2017,51.312
9/6/2016,77.88
8/29/2016,64.624
8/29/2016,95.976
8/29/2016,1.788
12/1/2016,23.92
11/13/2019,238.896
11/13/2019,102.36
11/13/2019,36.882
11/23/2017,74.112
11/23/2017,27.992
11/23/2017,3.304
10/15/2019,339.96
12/25/2017,41.96
11/3/2016,75.96
11/3/2016,27.24
8/25/2018,40.096
8/25/2018,4.72
8/25/2018,23.976
8/25/2018,130.464
3/2/2019,787.53
4/5/2019,157.794
6/12/2016,47.04
6/12/2016,30.84
6/12/2016,226.56
6/12/2016,115.02
6/12/2016,68.04
12/26/2018,600.558
9/20/2018,617.7
11/5/2017,2.388
11/5/2017,243.992
11/6/2016,81.424
11/6/2016,238.56
2/2/2017,59.97
2/2/2017,78.304
2/2/2017,21.456
10/13/2016,20.04
10/13/2016,35.44
10/13/2016,11.52
10/13/2016,4.02
10/13/2016,76.176
10/13/2016,65.88
10/13/2016,43.12
9/5/2016,82.8
9/18/2017,8.82
9/18/2017,10.86
9/18/2017,143.7
12/22/2017,839.43
9/7/2019,671.93
10/22/2018,93.888
12/5/2016,384.45
12/5/2016,149.97
12/5/2016,1951.84
12/5/2016,171.55
3/13/2016,157.92
3/13/2016,203.184
5/31/2019,58.38
5/31/2019,105.52
5/31/2019,80.88
5/28/2019,6.63
3/1/2018,457.568
11/20/2016,14.62
11/20/2016,944.93
5/11/2016,5.98
12/28/2019,54.384
11/16/2016,28.4
11/7/2016,27.68
9/8/2018,9.936
9/8/2018,8159.952
9/8/2018,275.928
9/8/2018,1740.06
9/8/2018,32.064
9/8/2018,177.98
9/8/2018,143.976
8/5/2018,20.94
8/5/2018,110.96
8/5/2018,340.144
